"playid"	"period"	"strength"	"time"	"event"	"description"	"player1visitor"	"player2visitor"	"player3visitor"	"player4visitor"	"player5visitor"	"player6visitor"	"player1posvisitor"	"player2posvisitor"	"player3posvisitor"	"player4posvisitor"	"player5posvisitor"	"player6posvisitor"	"player1home"	"player2home"	"player3home"	"player4home"	"player5home"	"player6home"	"player1poshome"	"player2poshome"	"player3poshome"	"player4poshome"	"player5poshome"	"player6poshome"
"50"	50	1	"PP"	"7:0612:54"	"MISS"	"MTL #20 VANEK, Backhand, Wide of Net, Off. Zone, 14 ft."	"48"	"51"	"20"	"76"	"79"	"31"	"C"	"C"	"L"	"D"	"D"	"G"	"11"	"20"	"33"	"86"	"40"	NA	"C"	"L"	"D"	"D"	"G"	NA
"51"	51	1	"PP"	"7:1512:45"	"SHOT"	"MTL ONGOAL - #48 BRIERE, Wrist, Off. Zone, 18 ft."	"48"	"51"	"20"	"76"	"79"	"31"	"C"	"C"	"L"	"D"	"D"	"G"	"11"	"20"	"33"	"86"	"40"	NA	"C"	"L"	"D"	"D"	"G"	NA
"52"	52	1	" "	"7:3112:29"	"STOP"	"ICING"	"14"	"48"	"11"	"40"	"76"	"31"	"C"	"C"	"R"	"D"	"D"	"G"	"37"	"21"	"43"	"55"	"40"	NA	"C"	"L"	"D"	"D"	"G"	NA
"53"	53	1	"PP"	"7:3112:29"	"FAC"	"MTL won Def. Zone - MTL #14 PLEKANEC vs BOS #46 KREJCI"	"14"	"48"	"11"	"40"	"76"	"31"	"C"	"C"	"R"	"D"	"D"	"G"	"46"	"12"	"43"	"55"	"40"	NA	"C"	"R"	"D"	"D"	"G"	NA
"54"	54	1	"EV"	"8:2011:40"	"MISS"	"MTL #17 BOURQUE, Snap, Wide of Net, Off. Zone, 39 ft."	"81"	"17"	"21"	"40"	"74"	"31"	"C"	"R"	"R"	"D"	"D"	"G"	"37"	"46"	"63"	"47"	"86"	"40"	"C"	"C"	"C"	"D"	"D"	"G"
"55"	55	1	"EV"	"8:2811:32"	"BLOCK"	"MTL #21 GIONTA BLOCKED BY  BOS #37 BERGERON, Snap, Def. Zone"	"81"	"17"	"21"	"40"	"74"	"31"	"C"	"R"	"R"	"D"	"D"	"G"	"37"	"63"	"18"	"47"	"86"	"40"	"C"	"C"	"R"	"D"	"D"	"G"
"56"	56	1	"EV"	"8:4011:20"	"HIT"	"MTL #17 BOURQUE HIT BOS #47 KRUG, Off. Zone"	"81"	"17"	"21"	"26"	"74"	"31"	"C"	"R"	"R"	"D"	"D"	"G"	"37"	"63"	"18"	"47"	"86"	"40"	"C"	"C"	"R"	"D"	"D"	"G"
"57"	57	1	" "	"8:4811:12"	"STOP"	"GOALIE STOPPED"	"81"	"17"	"21"	"26"	"74"	"31"	"C"	"R"	"R"	"D"	"D"	"G"	"37"	"63"	"18"	"27"	"33"	"40"	"C"	"C"	"R"	"D"	"D"	"G"
"58"	58	1	"EV"	"8:4811:12"	"SHOT"	"BOS ONGOAL - #37 BERGERON, Wrist, Off. Zone, 45 ft."	"81"	"17"	"21"	"26"	"74"	"31"	"C"	"R"	"R"	"D"	"D"	"G"	"37"	"63"	"18"	"27"	"33"	"40"	"C"	"C"	"R"	"D"	"D"	"G"
"59"	59	1	"EV"	"8:4811:12"	"FAC"	"BOS won Off. Zone - MTL #51 DESHARNAIS vs BOS #34 SODERBERG"	"51"	"22"	"67"	"74"	"79"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"34"	"25"	"21"	"27"	"33"	"40"	"C"	"R"	"L"	"D"	"D"	"G"
"60"	60	1	"EV"	"8:5511:05"	"SHOT"	"BOS ONGOAL - #21 ERIKSSON, Snap, Off. Zone, 32 ft."	"51"	"22"	"67"	"74"	"79"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"34"	"25"	"21"	"27"	"33"	"40"	"C"	"R"	"L"	"D"	"D"	"G"
"61"	61	1	"EV"	"8:5611:04"	"HIT"	"MTL #74 EMELIN HIT BOS #21 ERIKSSON, Def. Zone"	"51"	"22"	"67"	"74"	"79"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"34"	"25"	"21"	"27"	"33"	"40"	"C"	"R"	"L"	"D"	"D"	"G"
"62"	62	1	"EV"	"9:0510:55"	"GIVE"	"BOS GIVEAWAY - #34 SODERBERG, Off. Zone"	"51"	"22"	"67"	"74"	"79"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"34"	"25"	"21"	"27"	"33"	"40"	"C"	"R"	"L"	"D"	"D"	"G"
"63"	63	1	"EV"	"9:2710:33"	"PENL"	"BOS #33 CHARA Holding(2 min), Def. Zone Drawn By: MTL #67 PACIORETTY"	"51"	"22"	"67"	"74"	"79"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"34"	"25"	"21"	"27"	"33"	"40"	"C"	"R"	"L"	"D"	"D"	"G"
"64"	64	1	"EV"	"9:2710:33"	"PENL"	"MTL #67 PACIORETTY Holding(2 min), Off. Zone Drawn By: BOS #33 CHARA"	"51"	"22"	"67"	"74"	"79"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"34"	"25"	"21"	"27"	"40"	NA	"C"	"R"	"L"	"D"	"G"	NA
"65"	65	1	"EV"	"9:2710:33"	"FAC"	"MTL won Neu. Zone - MTL #14 PLEKANEC vs BOS #46 KREJCI"	"14"	"21"	"26"	"76"	"31"	NA	"C"	"R"	"D"	"D"	"G"	NA	"46"	"17"	"27"	"47"	"40"	NA	"C"	"L"	"D"	"D"	"G"	NA
"66"	66	1	"EV"	"9:5510:05"	"BLOCK"	"MTL #21 GIONTA BLOCKED BY  BOS #27 HAMILTON, Wrist, Def. Zone"	"14"	"21"	"26"	"76"	"31"	NA	"C"	"R"	"D"	"D"	"G"	NA	"46"	"17"	"27"	"47"	"40"	NA	"C"	"L"	"D"	"D"	"G"	NA
"67"	67	1	"EV"	"10:329:28"	"HIT"	"BOS #47 KRUG HIT MTL #11 GALLAGHER, Off. Zone"	"81"	"11"	"74"	"79"	"31"	NA	"C"	"R"	"D"	"D"	"G"	NA	"46"	"63"	"27"	"47"	"40"	NA	"C"	"C"	"D"	"D"	"G"	NA
